Id,SalePrice
2658,151062.38182051052
2718,162980.89967587066
2414,178245.29376473257
1989,107681.9127272621
625,165693.19238012235
333,115212.59373655565
1327,117750.41599585579
858,155235.69941309656
95,188418.42037934824
1568,165198.2721653741
2482,157655.28652434063
1364,114752.6531733079
2584,155401.40320204763
818,275799.39257712744
2673,184767.4624007924
2089,176593.02016853032
1297,141786.9364478963
790,111018.95637595197
2616,230202.85260785883
720,185590.96673017426
222,147934.7741150147
557,111363.30085516992
1148,191666.7104290697
2766,182057.74559223838
534,186564.5089579947
1452,122862.27736462426
630,111078.31721671465
2648,111103.14298268761
125,131417.41104259965
1904,88245.09323655888
1670,115353.90233401045
756,96068.32679228387
717,216045.89703460826
1032,156661.85789255114
852,229019.81603747708
1731,188352.40118956435
2639,112693.32971806827
2071,119231.62774085366
1267,124576.94929609743
1851,190376.72300050288
567,149409.18805814863
2439,224576.23100832303
1898,135812.98751972397
647,146703.1044631433
2256,227814.638476009
979,124719.73266060704
1444,204438.38134429746
2485,119776.73708670512
157,133764.9365901794
88,126707.51300466404
2003,107933.06068137547
186,235403.39613299858
1425,257905.13966953082
2695,125645.56490037445
738,90350.76756997411
395,144275.27254254505
1353,164445.71103581903
1878,143474.43927684674
390,157588.23908092355
1456,220146.57502476653
1103,310774.07384891494
1387,110313.66601487543
2070,158846.618481775
1199,171804.19456172315
2479,166787.38955234093
501,311080.4832293677
2362,103716.27114990048
1718,187054.9687645149
2188,110683.39955106682
1483,149170.3041940954
2557,69123.0299692311
437,341905.24490831816
2224,190225.05796819768
1628,174733.66671017496
397,132512.08958840682
587,201093.87686782528
971,183770.8584461077
2611,149396.3254083717
1887,121740.27138426759
2399,347030.63352009514
2148,219243.34030716325
304,111632.87237316556
1997,126926.31146708815
2817,107839.25660076877
1431,188513.53580487912
427,331897.18685185385
263,116731.59076962287
598,162555.3154552076
2895,286265.38130984094
687,145706.46510536014
1822,131430.15112202746
2191,102174.49881074447
179,134629.59183420293
1009,194167.21182276585
2010,126079.07226030539
1991,146594.51746248297
1411,180735.05246405868
1721,238974.8123083543
1144,175830.15324213973
593,200498.09784260843
575,316570.25010037475
1249,191337.3912170694
1604,131299.72924983702
1064,481698.7367269604
1923,159995.8521328755
1988,117316.11530641452
2325,162700.95340725756
114,201270.42596932338
2700,156346.32382433227
217,107803.17549999035
343,165291.51582758906
386,244127.79128589574
2005,116948.77901031132
2908,176224.62954220566
1814,233997.85101787577
2446,548422.9174991996
208,150645.45971984725
1679,112656.85801692607
822,317859.86826212367
6,188267.9519269481
1781,432490.5159284277
2397,266937.2212829109
2340,306553.2956835727
1618,183681.46415345394
2843,116764.84112739381
1061,349213.7495699463
2786,130466.5517558198
1935,129348.98515041535
1341,131117.19811387436
521,280371.3088188999
2136,125630.98459213041
996,184794.64327691152
227,127884.58139966654
135,137353.87226548523
1167,153332.5729363585
294,215545.45749746912
1776,192756.73611896532
540,175957.94697686774
1717,192689.9844241889
2303,142122.07485646356
116,175577.15983695225
127,128770.472090698
1371,136844.94369872927
1014,89110.29614250122
1507,133677.9526824131
702,121369.97530680848
750,135128.87042529523
261,156873.44191742892
1559,88171.86606286647
577,242355.6069377548
2812,201815.75172059602
2080,148212.1842027363
1368,103338.05425786127
2376,114568.60379729951
659,105695.47276116454
1235,121488.41283205917
332,97347.3443603372
1917,124946.60779203146
2094,211386.52016827755
1460,289500.2478626959
1471,197877.2981425496
1509,134487.69397470966
1922,135083.98354927285
433,529984.3408252816
460,256967.66549117566
1116,255285.8089199762
1137,172568.1624572881
53,160161.27719071103
2354,259715.564414348
1475,202192.84427566367
1761,534741.5807559309
842,135531.439193819
2739,192398.41017858405
2509,130097.13400304073
1007,226347.75656439978
2610,187271.8914670989
1952,72645.49594812498
2719,141822.3592975413
2921,103620.09488623147
1966,127679.09462359814
292,100672.19851289049
1204,208331.34592774638
1829,277664.93314288463
2419,182769.51132102165
391,163070.18518145106
798,119324.06225749571
481,189189.1423288563
193,199062.17891386914
555,114002.6443634383
899,75593.47876638536
2357,196337.35425920336
328,113649.99309824331
1356,110379.1149631548
1154,102711.67830908996
1730,175229.48707765687
2249,143239.12151670834
1119,254486.92708232085
2856,119626.86019525844
1394,155974.84481397556
2587,124467.63236174452
61,354234.76968877204
2661,159206.35161847895
2711,135601.6883752361
1147,180420.10885282146
757,130853.8939523692
2623,98979.11713179862
2378,143330.8689394016
1413,125976.15188654198
1722,234295.0770931299
1112,213669.05512138337
1623,192785.58066722704
